"Model:WTU125-L30V"
"operator:172"
"0# CH"
"ID:0"
"12-20 17:53:11  rd sn
12-20 22:40:45  ST,222,x,127212,127270,+00.3080,y,128620,128625,-00.0249,+00.0013

12-20 22:40:46  rd m all
12-20 22:40:46  ST,222,x,127212,127270,+00.3080,y,128619,128624,-00.0252,+00.0013

12-20 22:40:48  rd m all
12-20 22:40:48  ST,222,x,127212,127270,+00.3080,y,128619,128624,-00.0252,+00.0013

12-20 23:10:57  rd m all
12-20 23:10:57  ST,228,x,127216,127281,+00.3112,y,128615,128615,-00.0278,+00.0013

12-20 23:10:58  rd m all
12-20 23:10:58  ST,227,x,127216,127280,+00.3109,y,128615,128616,-00.0275,+00.0013

12-20 23:11:00  rd m all
12-20 23:11:00  ST,227,x,127216,127280,+00.3109,y,128614,128615,-00.0278,+00.0013

12-20 23:11:01  rd m all
12-20 23:11:01  ST,227,x,127216,127280,+00.3109,y,128615,128616,-00.0275,+00.0013

12-20 23:11:03  rd m all
12-20 23:11:03  ST,227,x,127216,127280,+00.3109,y,128615,128616,-00.0275,+00.0013

12-20 23:41:12  rd m all
12-20 23:41:12  ST,222,x,127216,127274,+00.3092,y,128601,128606,-00.0304,+00.0013

12-20 23:41:13  rd m all
12-20 23:41:14  ST,222,x,127216,127274,+00.3092,y,128598,128603,-00.0313,+00.0013

12-20 23:41:15  rd m all
12-20 23:41:15  ST,223,x,127216,127275,+00.3094,y,128598,128602,-00.0315,+00.0013

12-20 23:41:16  rd m all
12-20 23:41:17  ST,223,x,127216,127275,+00.3094,y,128607,128611,-00.0290,+00.0013

12-20 23:41:18  rd m all
12-20 23:41:18  ST,223,x,127216,127275,+00.3094,y,128608,128612,-00.0287,+00.0013

12-21 00:11:27  rd m all
12-21 00:11:27  ST,217,x,127222,127275,+00.3094,y,128598,128608,-00.0298,+00.0013

12-21 00:11:28  rd m all
12-21 00:11:29  ST,217,x,127223,127276,+00.3097,y,128598,128608,-00.0298,+00.0013

12-21 00:11:30  rd m all
12-21 00:11:30  ST,217,x,127223,127276,+00.3097,y,128598,128608,-00.0298,+00.0013

12-21 00:11:31  rd m all
12-21 00:11:32  ST,217,x,127223,127276,+00.3097,y,128598,128608,-00.0298,+00.0013

12-21 00:11:33  rd m all
12-21 00:11:33  ST,217,x,127223,127276,+00.3097,y,128598,128608,-00.0298,+00.0013

12-21 00:41:42  rd m all
12-21 00:41:42  ST,211,x,127275,127321,+00.3226,y,128614,128629,-00.0238,+00.0013

12-21 00:41:44  rd m all
12-21 00:41:44  ST,211,x,127229,127275,+00.3094,y,128614,128629,-00.0238,+00.0013

12-21 00:41:45  rd m all
12-21 00:41:45  ST,211,x,127224,127270,+00.3080,y,128590,128605,-00.0307,+00.0013

12-21 00:41:47  rd m all
12-21 00:41:47  ST,211,x,127224,127270,+00.3080,y,128590,128605,-00.0307,+00.0013

12-21 00:41:48  rd m all
12-21 00:41:48  ST,211,x,127223,127269,+00.3077,y,128595,128610,-00.0293,+00.0013

12-21 01:11:57  rd m all
12-21 01:11:57  ST,206,x,127230,127271,+00.3083,y,128590,128610,-00.0293,+00.0013

12-21 01:11:59  rd m all
12-21 01:11:59  ST,206,x,127230,127271,+00.3083,y,128590,128610,-00.0293,+00.0013

12-21 01:12:00  rd m all
12-21 01:12:00  ST,206,x,127230,127271,+00.3083,y,128590,128610,-00.0293,+00.0013

12-21 01:12:02  rd m all
12-21 01:12:02  ST,206,x,127230,127271,+00.3083,y,128591,128611,-00.0290,+00.0013

12-21 01:12:03  rd m all
12-21 01:12:03  ST,206,x,127230,127271,+00.3083,y,128591,128611,-00.0290,+00.0013

12-21 01:42:12  rd m all
12-21 01:42:12  ST,199,x,127236,127269,+00.3077,y,128498,128524,-00.0540,+00.0013

12-21 01:42:14  rd m all
12-21 01:42:14  ST,199,x,127236,127269,+00.3077,y,128606,128632,-00.0229,+00.0013

12-21 01:42:15  rd m all
12-21 01:42:15  ST,199,x,127236,127269,+00.3077,y,128590,128616,-00.0275,+00.0013

12-21 01:42:17  rd m all
12-21 01:42:17  ST,199,x,127236,127269,+00.3077,y,128590,128616,-00.0275,+00.0013

12-21 01:42:18  rd m all
12-21 01:42:18  ST,199,x,127236,127269,+00.3077,y,128595,128621,-00.0261,+00.0013

12-21 02:12:27  rd m all
12-21 02:12:28  ST,194,x,127211,127239,+00.2991,y,128554,128585,-00.0364,+00.0013

12-21 02:12:29  rd m all
12-21 02:12:29  ST,194,x,127248,127276,+00.3097,y,128621,128652,-00.0172,+00.0013

12-21 02:12:30  rd m all
12-21 02:12:31  ST,194,x,127248,127276,+00.3097,y,128616,128647,-00.0186,+00.0013

12-21 02:12:32  rd m all
12-21 02:12:32  ST,194,x,127245,127273,+00.3089,y,128600,128631,-00.0232,+00.0013

12-21 02:12:33  rd m all
12-21 02:12:34  ST,194,x,127243,127271,+00.3083,y,128597,128628,-00.0241,+00.0013

12-21 02:42:43  rd m all
12-21 02:42:43  ST,188,x,127256,127276,+00.3097,y,128621,128645,-00.0192,+00.0013

12-21 02:42:44  rd m all
12-21 02:42:44  ST,188,x,127256,127276,+00.3097,y,128621,128645,-00.0192,+00.0013

12-21 02:42:46  rd m all
12-21 02:42:46  ST,188,x,127250,127270,+00.3080,y,128600,128624,-00.0252,+00.0013

12-21 02:42:47  rd m all
12-21 02:42:47  ST,188,x,127252,127272,+00.3086,y,128602,128626,-00.0247,+00.0013

12-21 02:42:49  rd m all
12-21 02:42:49  ST,188,x,127252,127272,+00.3086,y,128602,128626,-00.0247,+00.0013

12-21 03:12:58  rd m all
12-21 03:12:58  ST,182,x,127263,127276,+00.3097,y,128610,128626,-00.0247,+00.0013

12-21 03:12:59  rd m all
12-21 03:12:59  ST,182,x,127263,127276,+00.3097,y,128610,128626,-00.0247,+00.0013

12-21 03:13:01  rd m all
12-21 03:13:01  ST,182,x,127263,127276,+00.3097,y,128611,128627,-00.0244,+00.0013

12-21 03:13:02  rd m all
12-21 03:13:02  ST,182,x,127263,127276,+00.3097,y,128610,128626,-00.0247,+00.0013

12-21 03:13:04  rd m all
12-21 03:13:04  ST,182,x,127263,127276,+00.3097,y,128610,128626,-00.0247,+00.0013

12-21 03:43:13  rd m all
12-21 03:43:13  ST,177,x,127276,127283,+00.3117,y,128617,128625,-00.0249,+00.0013

12-21 03:43:14  rd m all
12-21 03:43:14  ST,177,x,127276,127283,+00.3117,y,128617,128625,-00.0249,+00.0013

12-21 03:43:16  rd m all
12-21 03:43:16  ST,177,x,127276,127283,+00.3117,y,128617,128625,-00.0249,+00.0013

12-21 03:43:17  rd m all
12-21 03:43:17  ST,177,x,127276,127283,+00.3117,y,128617,128625,-00.0249,+00.0013

12-21 03:43:19  rd m all
12-21 03:43:19  ST,177,x,127276,127283,+00.3117,y,128617,128625,-00.0249,+00.0013

12-21 04:13:28  rd m all
12-21 04:13:28  ST,171,x,127249,127249,+00.3020,y,128575,128575,-00.0393,+00.0013

12-21 04:13:29  rd m all
12-21 04:13:30  ST,171,x,127288,127288,+00.3132,y,128624,128624,-00.0252,+00.0013

12-21 04:13:31  rd m all
12-21 04:13:31  ST,171,x,127285,127285,+00.3123,y,128620,128620,-00.0264,+00.0013

12-21 04:13:32  rd m all
12-21 04:13:33  ST,171,x,127285,127285,+00.3123,y,128620,128620,-00.0264,+00.0013

12-21 04:13:34  rd m all
12-21 04:13:34  ST,171,x,127285,127285,+00.3123,y,128620,128620,-00.0264,+00.0013

12-21 04:43:43  rd m all
12-21 04:43:43  ST,166,x,127290,127284,+00.3120,y,128637,128635,-00.0221,+00.0013

12-21 04:43:44  rd m all
12-21 04:43:45  ST,166,x,127290,127284,+00.3120,y,128637,128635,-00.0221,+00.0013

12-21 04:43:46  rd m all
12-21 04:43:46  ST,166,x,127294,127288,+00.3132,y,128639,128637,-00.0215,+00.0013

12-21 04:43:47  rd m all
12-21 04:43:48  ST,166,x,127294,127288,+00.3132,y,128637,128635,-00.0221,+00.0013

12-21 04:43:49  rd m all
12-21 04:43:49  ST,166,x,127294,127288,+00.3132,y,128629,128627,-00.0244,+00.0013

12-21 05:13:58  rd m all
12-21 05:13:58  ST,160,x,127303,127289,+00.3135,y,128718,128712,+00.0000,+00.0013

12-21 05:14:00  rd m all
12-21 05:14:00  ST,160,x,127303,127289,+00.3135,y,128628,128622,-00.0258,+00.0013

12-21 05:14:01  rd m all
12-21 05:14:01  ST,160,x,127303,127289,+00.3135,y,128628,128622,-00.0258,+00.0013

12-21 05:14:03  rd m all
12-21 05:14:03  ST,160,x,127303,127289,+00.3135,y,128636,128630,-00.0235,+00.0013

12-21 05:14:04  rd m all
12-21 05:14:04  ST,160,x,127303,127289,+00.3135,y,128640,128634,-00.0224,+00.0013

12-21 05:44:13  rd m all
12-21 05:44:13  ST,155,x,127308,127287,+00.3129,y,128644,128635,-00.0221,+00.0013

12-21 05:44:15  rd m all
12-21 05:44:15  ST,155,x,127312,127291,+00.3140,y,128644,128635,-00.0221,+00.0013

12-21 05:44:16  rd m all
12-21 05:44:16  ST,155,x,127312,127291,+00.3140,y,128644,128635,-00.0221,+00.0013

12-21 05:44:18  rd m all
12-21 05:44:18  ST,155,x,127311,127290,+00.3137,y,128644,128635,-00.0221,+00.0013

12-21 05:44:19  rd m all
12-21 05:44:19  ST,155,x,127311,127290,+00.3137,y,128644,128635,-00.0221,+00.0013

12-21 06:14:28  rd m all
12-21 06:14:28  ST,149,x,127320,127291,+00.3140,y,128542,128529,-00.0525,+00.0013

12-21 06:14:30  rd m all
12-21 06:14:30  ST,149,x,127320,127291,+00.3140,y,128542,128529,-00.0525,+00.0013

12-21 06:14:31  rd m all
12-21 06:14:31  ST,149,x,127320,127291,+00.3140,y,128624,128611,-00.0290,+00.0013

12-21 06:14:33  rd m all
12-21 06:14:33  ST,149,x,127320,127291,+00.3140,y,128641,128628,-00.0241,+00.0013

12-21 06:14:34  rd m all
12-21 06:14:34  ST,149,x,127320,127291,+00.3140,y,128641,128628,-00.0241,+00.0013

12-21 06:44:43  rd m all
12-21 06:44:44  ST,143,x,127328,127289,+00.3135,y,128700,128672,-00.0114,+00.0013

12-21 06:44:45  rd m all
12-21 06:44:45  ST,143,x,127328,127289,+00.3135,y,128700,128672,-00.0114,+00.0013

12-21 06:44:46  rd m all
12-21 06:44:47  ST,143,x,127328,127289,+00.3135,y,128680,128652,-00.0172,+00.0013

12-21 06:44:48  rd m all
12-21 06:44:48  ST,143,x,127328,127289,+00.3135,y,128671,128643,-00.0198,+00.0013

12-21 06:44:49  rd m all
12-21 06:44:50  ST,143,x,127328,127289,+00.3135,y,128671,128643,-00.0198,+00.0013

12-21 07:14:59  rd m all
12-21 07:14:59  ST,138,x,127343,127296,+00.3155,y,128685,128643,-00.0198,+00.0013

12-21 07:15:00  rd m all
12-21 07:15:00  ST,138,x,127343,127296,+00.3155,y,128685,128643,-00.0198,+00.0013

12-21 07:15:02  rd m all
12-21 07:15:02  ST,138,x,127338,127291,+00.3140,y,128669,128627,-00.0244,+00.0013

12-21 07:15:03  rd m all
12-21 07:15:03  ST,138,x,127339,127292,+00.3143,y,128676,128634,-00.0224,+00.0013

12-21 07:15:05  rd m all
12-21 07:15:05  ST,138,x,127340,127293,+00.3146,y,128676,128634,-00.0224,+00.0013

12-21 07:45:14  rd m all
12-21 07:45:14  ST,131,x,127354,127295,+00.3152,y,128692,128632,-00.0229,+00.0013

12-21 07:45:15  rd m all
12-21 07:45:15  ST,131,x,127354,127295,+00.3152,y,128692,128632,-00.0229,+00.0013

12-21 07:45:17  rd m all
12-21 07:45:17  ST,131,x,127354,127295,+00.3152,y,128692,128632,-00.0229,+00.0013

12-21 07:45:18  rd m all
12-21 07:45:18  ST,131,x,127354,127295,+00.3152,y,128692,128632,-00.0229,+00.0013

12-21 07:45:20  rd m all
12-21 07:45:20  ST,131,x,127354,127295,+00.3152,y,128692,128632,-00.0229,+00.0013

12-21 08:15:29  rd m all
12-21 08:15:29  ST,125,x,127371,127302,+00.3172,y,128707,128631,-00.0232,+00.0013

12-21 08:15:30  rd m all
12-21 08:15:30  ST,125,x,127370,127301,+00.3169,y,128707,128631,-00.0232,+00.0013

12-21 08:15:32  rd m all
