ST,167,x,123577,123577,-00.1205,y,125270,125263,+00.0009,011
ST,167,x,123579,123579,-00.1202,y,125272,125265,+00.0012,011
ST,167,x,123577,123577,-00.1205,y,125274,125267,+00.0015,011
ST,167,x,123576,123576,-00.1206,y,125274,125267,+00.0015,011
ST,167,x,123576,123576,-00.1206,y,125275,125268,+00.0017,011
ST,167,x,123576,123576,-00.1206,y,125275,125268,+00.0017,011
ST,167,x,123575,123575,-00.1207,y,125275,125268,+00.0017,011
ST,167,x,123575,123575,-00.1207,y,125275,125268,+00.0017,011
ST,167,x,123578,123578,-00.1203,y,125276,125269,+00.0018,011
ST,167,x,123579,123579,-00.1202,y,125275,125268,+00.0017,011
ST,167,x,123578,123578,-00.1203,y,125276,125269,+00.0018,011
ST,167,x,123576,123576,-00.1206,y,125277,125270,+00.0019,011
ST,167,x,123575,123575,-00.1207,y,125278,125271,+00.0021,011
ST,167,x,123574,123574,-00.1209,y,125278,125271,+00.0021,011
ST,167,x,123574,123574,-00.1209,y,125278,125271,+00.0021,011
ST,167,x,123573,123573,-00.1210,y,125278,125271,+00.0021,011
ST,167,x,123573,123573,-00.1210,y,125278,125271,+00.0021,011
ST,167,x,123572,123572,-00.1212,y,125279,125272,+00.0022,011
ST,167,x,123572,123572,-00.1212,y,125279,125272,+00.0022,011
ST,167,x,123572,123572,-00.1212,y,125279,125272,+00.0022,011
ST,167,x,123572,123572,-00.1212,y,125279,125272,+00.0022,011
ST,167,x,123572,123572,-00.1212,y,125279,125272,+00.0022,011
ST,167,x,123571,123571,-00.1213,y,125279,125272,+00.0022,011
ST,167,x,123571,123571,-00.1213,y,125279,125272,+00.0022,011
ST,167,x,123570,123570,-00.1215,y,125279,125272,+00.0022,011
ST,167,x,123570,123570,-00.1215,y,125280,125273,+00.0024,011
ST,167,x,123570,123570,-00.1215,y,125280,125273,+00.0024,011
ST,167,x,123570,123570,-00.1215,y,125280,125273,+00.0024,011
ST,167,x,123570,123570,-00.1215,y,125280,125273,+00.0024,011
ST,167,x,123571,123571,-00.1213,y,125279,125272,+00.0022,011
ST,167,x,123571,123571,-00.1213,y,125278,125271,+00.0021,011
ST,167,x,123571,123571,-00.1213,y,125278,125271,+00.0021,011
ST,167,x,123570,123570,-00.1215,y,125278,125271,+00.0021,011
ST,167,x,123569,123569,-00.1216,y,125279,125272,+00.0022,011
ST,168,x,123569,123569,-00.1216,y,125280,125280,+00.0034,011
ST,167,x,123569,123569,-00.1216,y,125279,125272,+00.0022,011
ST,167,x,123569,123569,-00.1216,y,125279,125272,+00.0022,011
ST,167,x,123569,123569,-00.1216,y,125280,125273,+00.0024,011
ST,167,x,123568,123568,-00.1218,y,125280,125273,+00.0024,011
